Id,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
1,20MICRONS,EQ,94.5,95.4,93,94.1,93.8,94.5,54373,5123943.2,17-OCT-2022,1673,INE144J01027
2,21STCENMGM,EQ,23.65,23.65,22.9,23,23.45,23.3,3912,90590.7,17-OCT-2022,78,INE253B01015
3,3IINFOLTD,EQ,42.3,42.5,41.6,41.85,41.85,42.35,204062,8562729.95,17-OCT-2022,2421,INE748C01038
4,3MINDIA,EQ,22996,24200,22743.05,23414.1,23502,23003.45,5166,121502380.65,17-OCT-2022,2611,INE470A01017
5,3PLAND,EQ,19.9,20.7,19.1,20.7,20.7,18.85,60369,1229739.65,17-OCT-2022,350,INE105C01023
6,4THDIM,EQ,85.5,85.5,85.5,85.5,85.5,83.85,109,9319.5,17-OCT-2022,4,INE382T01022
7,5PAISA,EQ,342.65,352.15,334.05,343.8,350,342.65,46438,15954454.1,17-OCT-2022,1951,INE618L01018
8,63MOONS,EQ,170.8,172,166.45,167.65,168.35,170.3,40201,6758940.65,17-OCT-2022,1697,INE111B01023
9,A2ZINFRA,EQ,10.9,10.9,10.4,10.45,10.5,10.7,99593,1051299.25,17-OCT-2022,341,INE619I01012
10,AAKASH,EQ,13.65,13.7,12.3,12.85,12.85,13.4,477224,6164233.4,17-OCT-2022,1007,INE087Z01024
11,AAREYDRUGS,EQ,39.85,39.85,38.5,39,38.85,39.6,38808,1516455,17-OCT-2022,410,INE198H01019
12,AARTIDRUGS,EQ,456.3,461.95,456,459.75,460.5,460.45,46108,21172467.55,17-OCT-2022,3594,INE767A01016
13,AARTIIND,EQ,778,807.9,770,788.05,788.7,780.5,1918905,1525320546.85,17-OCT-2022,51631,INE769A01020
14,AARTISURF,EQ,777.1,784,755.05,766.25,774,778.7,5989,4596842.1,17-OCT-2022,878,INE09EO01013
15,AARVEEDEN,EQ,25.85,25.85,24.65,25.4,25.4,25.4,5212,131865.6,17-OCT-2022,79,INE273D01019
16,AARVI,EQ,155.3,159.75,150.55,153.65,153.85,158.6,27358,4221430.4,17-OCT-2022,865,INE754X01016
17,AAVAS,EQ,2076.5,2098.65,2042.5,2052.9,2061.9,2076.5,51479,106144749.75,17-OCT-2022,13573,INE216P01012
18,ABAN,EQ,52,53.1,50.3,50.75,50.9,52,119556,6145629.5,17-OCT-2022,1826,INE421A01028
19,ABB,EQ,3190.05,3231.75,3153.3,3196.55,3196.1,3194.3,303859,969360531.15,17-OCT-2022,33017,INE117A01022
20,ABBOTINDIA,EQ,18063.8,18360,18000,18085.4,18105,18081.9,8136,147832041.1,17-OCT-2022,2579,INE358A01014
21,ABCAPITAL,EQ,109.85,111,108.1,110.4,110.3,109.85,1516290,166674993.4,17-OCT-2022,12395,INE674K01013
22,ABFRL,EQ,327.5,333.35,326.25,331.85,331.25,327.7,896203,296513966.7,17-OCT-2022,16823,INE647O01011
23,ABSLAMC,EQ,431,439.15,430.65,435.1,435.65,435.4,28708,12509507.3,17-OCT-2022,1980,INE404A01024
24,ABSLBANETF,EQ,39.88,40.04,38.69,39.93,39.84,39.43,4820,191608.27,17-OCT-2022,160,INF209KB17D5
25,ABSLNN50ET,EQ,42.9,42.9,42.14,42.7,42.7,42.48,5417,229307.74,17-OCT-2022,206,INF209KB16D7
26,ACC,EQ,2232,2285.05,2205.3,2270.1,2260,2243.65,1512370,3401236282.85,17-OCT-2022,80089,INE012A01025
27,ACCELYA,EQ,1069,1069,1041.5,1054.8,1060.5,1061.1,6083,6390726.05,17-OCT-2022,1463,INE793A01012
28,ACCURACY,EQ,268.7,268.7,256.25,260.65,260,264.2,64359,16826129.55,17-OCT-2022,1576,INE648Z01015
29,ACE,EQ,278,279.2,271.45,275.25,275.85,277.5,187742,51701555.55,17-OCT-2022,6104,INE731H01025
30,ACRYSIL,EQ,572,580.3,558,560.5,560,567,47101,26612101.45,17-OCT-2022,3669,INE482D01024
31,ADANIENT,EQ,3211,3235,3136.1,3212.6,3225,3209.5,1985298,6350425876.5,17-OCT-2022,65568,INE423A01024
32,ADANIGREEN,EQ,2044.1,2198,2035,2154.45,2173,2033.15,2910329,6165497466.55,17-OCT-2022,116270,INE364U01010
33,ADANIPORTS,EQ,782.1,789.95,771.65,786.2,787,780.1,4602870,3604569188.7,17-OCT-2022,66854,INE742F01042
34,ADANITRANS,EQ,3045,3096.7,2972.35,3074.35,3072.05,3035.3,369563,1122450912.2,17-OCT-2022,32702,INE931S01010
35,ADFFOODS,EQ,714.8,714.8,700,711.95,710.5,709.05,6865,4856320.5,17-OCT-2022,520,INE982B01019
36,ADORWELD,EQ,882.55,919,862.95,886.55,889,885.3,21721,19348836.3,17-OCT-2022,3423,INE045A01017
37,ADROITINFO,EQ,15.1,16.3,14.3,15.75,16.2,15.1,43689,668917.4,17-OCT-2022,316,INE737B01033
38,ADSL,EQ,103,104,99,100.05,100.4,104.55,177325,17822378.7,17-OCT-2022,3001,INE102I01027
39,ADVANIHOTR,EQ,80.85,82.1,80.15,81.05,81,80.85,23482,1901564.7,17-OCT-2022,763,INE199C01026
40,ADVENZYMES,EQ,269.7,269.7,265.45,266.85,267.5,268.8,49435,13194517.9,17-OCT-2022,2011,INE837H01020
41,AEGISCHEM,EQ,274.75,279.2,269.1,272.4,274.4,274.85,300350,82434150.4,17-OCT-2022,10977,INE208C01025
42,AETHER,EQ,950,955,941.95,947.8,946,951.05,33011,31337505.45,17-OCT-2022,4054,INE0BWX01014
43,AFFLE,EQ,1166,1175.55,1146,1157.75,1160.15,1174.75,179295,207293704.2,17-OCT-2022,20749,INE00WC01027
44,AGARIND,EQ,671,690.3,656.3,669.25,679.3,672.85,70725,47263929.05,17-OCT-2022,7996,INE204E01012
45,AGI,EQ,324.3,329.7,315,325.25,324.6,324.3,105925,34458694.7,17-OCT-2022,5974,INE415A01038
46,AGRITECH,EQ,96,98.95,94,96.1,94,98.15,6404,623537.3,17-OCT-2022,234,INE449G01018
47,AGROPHOS,EQ,35.1,35.7,34.2,35.2,35.15,35.1,43311,1513350.9,17-OCT-2022,569,INE740V01019
48,AGSTRA,EQ,81.3,81.3,79.3,80.95,80.5,80.85,238308,19146506.65,17-OCT-2022,3943,INE583L01014
49,AHLUCONT,EQ,437,457.3,422,427,425,432.05,24786,10751638.2,17-OCT-2022,1658,INE758C01029
50,AIAENG,EQ,2606.2,2653.4,2566.6,2592.15,2600,2598.35,67756,177504338.75,17-OCT-2022,10093,INE212H01026
51,AIRAN,EQ,17.85,17.85,17.45,17.6,17.6,17.65,129056,2270321.6,17-OCT-2022,686,INE645W01026
52,AIROLAM,EQ,108.9,112.25,105.5,108.6,108.6,107.75,54273,5955121.95,17-OCT-2022,1762,INE801L01010
53,AJANTPHARM,EQ,1264.4,1281.5,1250,1257.45,1262,1275.95,21283,26902008.45,17-OCT-2022,4881,INE031B01049
54,AJMERA,EQ,255,257.4,245.2,246.45,247.5,255.6,42617,10633429.75,17-OCT-2022,1432,INE298G01027
55,AJOONI,EQ,7.55,7.65,7.05,7.35,7.3,7.55,233637,1719388.95,17-OCT-2022,696,INE820Y01021
56,AJRINFRA,EQ,1.55,1.6,1.5,1.5,1.5,1.55,1508503,2271213.25,17-OCT-2022,456,INE181G01025
